City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
50,Northam,GB,2022-02-04 03:33:44,51.0333,-4.2167,51.03,94,100,24.45
51,Isangel,VU,2022-02-04 03:32:38,-19.55,169.2667,86.11,84,100,6.91
52,Torbay,CA,2022-02-04 03:33:44,47.6666,-52.7314,38.75,90,100,24.16
53,Pemba,MZ,2022-02-04 03:33:44,-12.974,40.5178,75.9,94,75,6.91
54,Okhotsk,RU,2022-02-04 03:33:45,59.3833,143.3,10.81,74,83,14.92
55,Vardo,NO,2022-02-04 03:29:07,70.3705,31.1107,26.58,62,100,13.06
56,Mareeba,AU,2022-02-04 03:33:45,-17.0,145.4333,83.12,92,100,4.07
57,Bereda,ES,2022-02-04 03:33:45,43.2686,-7.5406,50.0,93,100,2.73
58,Lorengau,PG,2022-02-04 03:33:42,-2.0226,147.2712,84.43,62,100,9.15
59,Port Alfred,ZA,2022-02-04 03:33:46,-33.5906,26.891,69.84,75,98,15.48
60,Baijiantan,CN,2022-02-04 03:33:46,45.6333,85.1833,7.43,83,82,3.31
61,Balykshi,KZ,2022-02-04 03:33:47,47.0667,51.8667,35.6,80,100,22.37
62,Morozovsk,RU,2022-02-04 03:33:47,48.3539,41.8261,34.39,98,100,8.93
63,Sao Mateus,BR,2022-02-04 03:33:47,-18.7161,-39.8589,74.26,95,100,2.13
64,Dikson,RU,2022-02-04 03:29:01,73.5069,80.5464,-7.19,94,100,5.55
65,Chokurdakh,RU,2022-02-04 03:33:48,70.6333,147.9167,-27.42,100,61,0.31
66,The Pas,CA,2022-02-04 03:30:17,53.8251,-101.2541,-16.58,69,0,9.22
67,Saint-Georges,GD,2022-02-04 03:29:20,12.0564,-61.7485,76.68,83,20,5.75
68,Mocuba,MZ,2022-02-04 03:33:48,-16.8392,36.9856,71.78,93,75,2.48
69,Kenora,CA,2022-02-04 03:31:37,49.8167,-94.4337,-5.82,64,100,8.05
70,Corrientes,AR,2022-02-04 03:33:49,-27.4806,-58.8341,76.96,88,0,3.44
71,Villefranche-De-Rouergue,FR,2022-02-04 03:33:49,44.3333,2.0,42.04,95,100,0.51
72,Kapaa,US,2022-02-04 03:33:49,22.0752,-159.319,76.12,67,0,1.01
73,Kumluca,TR,2022-02-04 03:33:50,36.3703,30.2869,50.68,71,99,7.92
74,Bubaque,GW,2022-02-04 03:33:50,11.2833,-15.8333,77.02,71,0,8.81
75,Sorland,NO,2022-02-04 03:33:50,67.667,12.6934,24.46,91,100,29.21
76,Serenje,ZM,2022-02-04 03:33:51,-13.2325,30.2352,62.19,99,100,4.41
77,Beidao,CN,2022-02-04 03:33:51,34.5686,105.8933,28.99,74,95,2.46
78,Harper,LR,2022-02-04 03:33:52,4.375,-7.7169,77.18,85,16,2.17
79,Lons-Le-Saunier,FR,2022-02-04 03:33:52,46.75,5.75,41.13,95,9,4.76
80,Sibolga,ID,2022-02-04 03:33:52,1.7427,98.7792,83.88,68,55,2.75
81,Geraldton,AU,2022-02-04 03:33:52,-28.7667,114.6,108.01,9,0,10.36
82,Saint George,US,2022-02-04 03:33:11,37.1041,-113.5841,40.24,31,0,1.99
83,San Vicente,AR,2022-02-04 03:33:53,-26.6167,-54.1333,68.4,100,100,2.06
84,Pidhorodne,UA,2022-02-04 03:33:53,48.5753,35.1068,29.44,94,100,11.97
