City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
103,Qiongshan,CN,20.0058,110.3542,66.18,94,75,6.71,broken clouds
104,Aykhal,RU,66.0,111.5,-8.0,98,100,4.68,overcast clouds
105,Bonthe,SL,7.5264,-12.505,88.03,54,5,12.73,clear sky
106,Comodoro Rivadavia,AR,-45.8667,-67.5,73.26,35,0,10.36,clear sky
107,Pozo Colorado,PY,-23.4923,-58.7972,86.23,34,4,11.39,clear sky
108,Surskoye,RU,54.4821,46.7214,7.16,98,100,2.17,overcast clouds
109,Saint-Marc,HT,19.1082,-72.6938,77.05,65,1,5.28,clear sky
110,Buchanan,LR,5.8808,-10.0467,91.36,65,45,10.18,scattered clouds
111,Port Blair,IN,11.6667,92.75,82.44,74,40,5.75,mist
112,Suntar,RU,62.1444,117.6319,3.87,98,100,2.28,overcast clouds
113,Salinas,US,36.6777,-121.6555,50.72,73,0,9.22,clear sky
114,Bredasdorp,ZA,-34.5322,20.0403,81.28,28,52,15.01,broken clouds
115,Namibe,AO,-15.1961,12.1522,81.23,57,40,20.71,scattered clouds
116,Mastic Beach,US,40.7668,-72.8521,22.1,65,0,8.01,clear sky
117,Uyuni,BO,-20.4597,-66.825,55.71,39,24,7.4,few clouds
118,Kavieng,PG,-2.5744,150.7967,81.99,78,100,4.79,overcast clouds
119,Kahului,US,20.8947,-156.47,73.85,81,0,9.22,clear sky
120,Tres Picos,MX,15.8667,-93.5333,70.48,66,50,10.09,scattered clouds
121,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,84,91,15.39,overcast clouds
122,Carazinho,BR,-28.2839,-52.7864,74.03,52,0,10.33,clear sky
123,Grand Gaube,MU,-20.0064,57.6608,82.8,76,83,10.0,broken clouds
124,Poum,NC,-20.2333,164.0167,79.07,84,100,6.22,very heavy rain
125,Lorengau,PG,-2.0226,147.2712,81.55,80,100,7.27,light rain
126,Vestmannaeyjar,IS,63.4427,-20.2734,31.19,69,0,17.27,clear sky
127,Tiksi,RU,71.6872,128.8694,-17.23,97,100,3.31,overcast clouds
128,Praia Da Vitoria,PT,38.7333,-27.0667,62.76,88,75,18.57,broken clouds
129,Sola,VU,-13.8833,167.55,81.36,83,100,15.59,overcast clouds
130,Dikson,RU,73.5069,80.5464,-23.71,100,78,6.8,broken clouds
131,Mar Del Plata,AR,-38.0023,-57.5575,66.22,85,75,14.0,broken clouds
132,Erenhot,CN,43.6475,111.9767,3.29,89,4,4.81,clear sky
133,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,76,1,13.42,clear sky
134,Klaksvik,FO,62.2266,-6.589,36.52,63,82,33.98,broken clouds
135,Bluff,NZ,-46.6,168.3333,43.81,75,0,7.18,clear sky
136,Quzhou,CN,28.9594,118.8686,36.84,98,100,8.5,moderate rain
137,Halifax,CA,44.6453,-63.5724,13.21,78,0,5.99,clear sky
138,Acarau,BR,-2.8856,-40.12,86.16,62,37,13.38,scattered clouds
139,Baker City,US,44.7749,-117.8344,21.6,78,100,0.0,haze
140,Kjollefjord,NO,70.9457,27.3465,23.49,82,14,19.91,few clouds
141,Nanortalik,GL,60.1432,-45.2371,13.59,54,100,14.83,overcast clouds
142,Garango,BF,11.8,-0.5506,93.07,8,4,7.63,clear sky
143,Carnarvon,AU,-24.8667,113.6333,77.07,69,40,23.02,scattered clouds
144,Pevek,RU,69.7008,170.3133,-24.86,100,30,1.95,scattered clouds
145,Belmonte,BR,-15.8631,-38.8828,84.2,62,42,8.79,scattered clouds
146,Touros,BR,-5.1989,-35.4608,86.9,52,30,11.7,scattered clouds
147,Nemuro,JP,43.3236,145.575,22.87,71,53,20.74,broken clouds
148,Fort Nelson,CA,58.8053,-122.7002,8.19,92,75,2.3,broken clouds
149,Tura,IN,25.5198,90.2201,53.01,83,37,2.89,scattered clouds
150,Colares,PT,38.7992,-9.4469,68.32,42,0,1.01,clear sky
151,Taos,US,36.4072,-105.5731,17.55,80,0,5.75,clear sky
152,Walvis Bay,NA,-22.9575,14.5053,74.08,69,18,11.01,few clouds
153,Palauig,PH,15.435,119.9045,77.97,72,31,4.63,scattered clouds
