City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
255,Maumere,ID,80.6,scattered clouds,-8.6199,122.2111,Sylvia Hotel
256,Puerto Ayora,EC,74.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
258,Douentza,ML,87.42,clear sky,14.9951,-2.9517,Ogomono Doumbo
262,Pamanukan,ID,77.05,overcast clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
263,Coron,PH,78.53,broken clouds,11.9986,120.2043,Coron Westown Resort
265,Borba,BR,83.61,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
266,Bowen,AU,73.62,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
268,Yeppoon,AU,73.18,clear sky,-23.1333,150.7333,Villa Mar Colina
271,Hobyo,SO,79.2,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
272,Souillac,MU,82.78,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
273,Alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
275,Zambezi,ZM,72.27,light rain,-13.5432,23.1047,Royal Kutachika Lodge
278,Ibra,OM,80.78,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
279,Porto Novo,BJ,89.42,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
280,Manta,EC,73.18,overcast clouds,-0.95,-80.7333,Balandra Hotel
288,Muisne,EC,73.51,light rain,0.6,-80.0333,Quinta Samay
289,Male,MV,84.15,few clouds,4.1748,73.5089,Hotel Octave Maldives
292,Kamina,CD,73.18,light rain,-8.7386,24.9906,Guest House Florvia
294,Medina,SA,70.23,clear sky,24.4686,39.6142,Anwar Al Madinah Mövenpick Hotel
295,Venezuela,VE,84.34,broken clouds,8.0,-66.0,
300,Dingle,PH,76.1,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
301,Bitung,ID,77.85,overcast clouds,1.4451,125.1824,K2 Lembeh
305,Gizo,SB,83.39,overcast clouds,-8.103,156.8419,Imagination Island
308,Murray Bridge,AU,80.69,broken clouds,-35.1167,139.2667,Balcony On Sixth Lodge
309,Luanda,AO,86.0,few clouds,-8.8368,13.2343,Hotel Fórum
311,Brazzaville,CG,88.16,scattered clouds,-4.2658,15.2832,Hotel Muesse
313,Nacala,MZ,87.12,broken clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
315,Saldanha,ZA,87.85,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
316,Butaritari,KI,81.03,light rain,3.0707,172.7902,Isles Sunset Lodge
318,Siavonga,ZM,70.09,overcast clouds,-16.5382,28.7088,Lavongora Waterfront Lodge
319,Marzuq,YE,78.01,few clouds,14.4,46.4667,
320,Namatanai,PG,80.37,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
323,Banjar,ID,80.46,overcast clouds,-8.19,114.9675,The Hamsa Resort
324,Puerto Princesa,PH,77.97,overcast clouds,9.7392,118.7353,Deep Forest Garden Inn
